STATION ID,TIME,LAST UPDATED,NAME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE
21,2020-01-01 15:55:02,2020-01-01 15:51:39,LEINSTER STREET SOUTH,30,12,18,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 16:00:02,2020-01-01 15:51:39,LEINSTER STREET SOUTH,30,12,18,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 16:05:27,2020-01-01 16:02:19,LEINSTER STREET SOUTH,30,14,16,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 16:10:02,2020-01-01 16:02:19,LEINSTER STREET SOUTH,30,14,16,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 16:15:02,2020-01-01 16:12:17,LEINSTER STREET SOUTH,30,14,16,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 16:20:02,2020-01-01 16:16:30,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 16:25:02,2020-01-01 16:16:30,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 16:30:03,2020-01-01 16:26:39,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 16:35:02,2020-01-01 16:32:49,LEINSTER STREET SOUTH,30,9,21,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 16:40:02,2020-01-01 16:32:49,LEINSTER STREET SOUTH,30,9,21,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 16:45:02,2020-01-01 16:44:57,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 16:50:02,2020-01-01 16:44:57,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 16:55:02,2020-01-01 16:53:08,LEINSTER STREET SOUTH,30,9,21,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 17:00:02,2020-01-01 16:53:08,LEINSTER STREET SOUTH,30,9,21,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 17:05:02,2020-01-01 17:03:18,LEINSTER STREET SOUTH,30,9,21,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 17:10:02,2020-01-01 17:06:13,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 17:15:02,2020-01-01 17:06:13,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 17:20:02,2020-01-01 17:17:16,LEINSTER STREET SOUTH,30,11,19,Open,Leinster Street South,53.342178,-6.254485
